user_id,go_friend_code,ds3_friend_code,switch_friend_code
103165406524493824,4504-2167-9736,5301-2379-3187,5938-0388-8577
111983543038611456,,,0868-4816-5094
121152503432609792,,,2484-6550-1039
142849329793597440,,,8286-2750-9899
144140746050502656,,,4519-5342-4801
146811659263016960,,,5955-0028-4991
149880110391099392,,,5553-2076-2910
158797705399894017,,,3669-7444-3105
161298898713968640,1826-6112-5616,,
162245104373989376,,,3091-4698-5413
163341980846260225,,,3292-3713-0624
164017097230254080,,,7845-3556-5783
167430839519412224,,,0797-6086-4110
172211671299915777,,0602-6766-2193,1867-2182-9020
183043078540623872,,,1476-7924-5691
185162912250331136,,,0420-7746-7126
185551682522972163,5617-4609-6219,,2145-4678-8500
186677595344076800,,,3061-7172-2160
188434845658120193,,,4020-8350-4844
189158007999823872,,,3130-9816-9418
193118007281582080,,,6868-3296-3001
199867040985645056,2544-5375-5034,,7390-6897-5692
201075251222675456,,,3974-5736-8290
202175416448843777,9805-7558-0765,,
212521768416444416,,,2461-4768-2408
213800677846155264,2026-0190-0908,,0241-4489-4905
220115302074155008,,,1403-6046-9914
233732870802243585,,2853-3062-7799,
234537869497204736,,,5739-6083-9400
244129064695103491,,,5538-6258-7102
245707996200566785,,,7173-1606-1133
270159371990728705,,,6645-3012-8815
275342657012891648,7807-1383-6298,0817-4861-0470,2021-0282-8550
282248979415171072,,,3943-5954-2200
287748697222283264,8633-1791-5133,,
313341666436317194,8585-0371-7969,,
314887531344953344,,,2509-8635-2107
329424896927203339,,,4349-2586-8784
359904411427930123,1691-6019-0144,4785-6017-2996,3389-2338-7981
368797044111835146,2056-7993-6024,0147-0839-3652,6606-0339-7888
402213063488569345,,,3961-0698-9392
462774225569316875,,,3133-1645-5427
626548590176632843,,,2617-8513-4897
732948683343265802,,0963-2031-8468,
92438409720639488,,0662-7235-7398,
95617443107446784,,7658-9019-8198,3491-0219-2522
99593441855438848,,,4340-7207-0922
147564239941402625,,,7149-1638-3102
277144615004405760,3788-4027-9761,,
142801887618400256,6847-8633-5736,4270-0964-2163,8295-7785-6978
444896627497500685,9335-4517-3922,,4501-6661-4531
658388020084473859,7318-9442-0905,,
786577244717973504,9977-0472-1668,,
725184511016566885,3117-7233-4347,,
811469306067156992,,4785-7867-1182,8193-0418-2711