id,server_id
715575390915133560,157983957902819328
715575434229841930,157983957902819328
715575536445030414,157983957902819328
763519868762456104,157983957902819328
716723787747295352,157983957902819328
518088106424139777,157983957902819328
519930084715397120,157983957902819328
501224528341499905,157983957902819328
556999980351488003,157983957902819328
742784666431389757,157983957902819328
409772588450054155,157983957902819328
646808968966045706,157983957902819328
758770604295585802,157983957902819328
686634765214023710,157983957902819328
679449189490360321,157983957902819328
748976528481583105,157983957902819328
748979760314712074,157983957902819328
759578201436717116,157983957902819328
694261048294768773,157983957902819328
205366722671280128,157983957902819328
562294099361792020,157983957902819328
291713747721125888,157983957902819328
440527052014354433,157983957902819328
369225834483023872,157983957902819328
420421284707434496,157983957902819328
488895896432541698,157983957902819328
181916018141036544,157983957902819328
281701706713137152,157983957902819328
175414056667054080,157983957902819328
475769094587678720,157983957902819328
489247710235590658,157983957902819328
265560670890754048,157983957902819328
467728986483458068,157983957902819328
488407241871851520,157983957902819328
234977421441368064,157983957902819328
170927378556518401,157983957902819328
484132687234203670,157983957902819328
341929927689371648,157983957902819328
324643990580363275,157983957902819328
408028130260025344,157983957902819328
399155784921120768,157983957902819328
402304778446700554,157983957902819328
173012924875538432,157983957902819328
234980234783490048,157983957902819328
475348902720307221,157983957902819328
233272084157956106,157983957902819328
595454050783199233,157983957902819328
235020446804869121,157983957902819328
218906579762806784,157983957902819328
221753398821781504,157983957902819328
570340112118972672,157983957902819328
201197574034554880,157983957902819328
427525498768326666,157983957902819328
355804075226562571,157983957902819328
184684492072419338,157983957902819328
177149640158871553,157983957902819328
188649852916334592,157983957902819328
419760048613359619,157983957902819328
580273674872160267,157983957902819328
430794232978997250,157983957902819328
207860198424051712,157983957902819328
363861913894912000,157983957902819328
505205120729088000,157983957902819328
170877706697703424,157983957902819328
431490306517630976,157983957902819328
214237605703712769,157983957902819328
475436825893142545,157983957902819328
583007067799945225,157983957902819328
267406766931705875,157983957902819328
293680605357670400,157983957902819328
445981491739099146,157983957902819328
514824130420539392,157983957902819328
172825873777557504,157983957902819328
411637116293087232,157983957902819328
591753455509438475,157983957902819328
344138946399305738,157983957902819328
410214039118151681,157983957902819328
314471498439983104,157983957902819328
331175637790359552,157983957902819328
338922214067929118,157983957902819328
287474197226192906,157983957902819328
485102671364358144,157983957902819328
449601555344261120,157983957902819328
470589713179344908,157983957902819328
542808445737238592,157983957902819328
496506036132380683,157983957902819328
354529848112447498,157983957902819328
183809356859441161,157983957902819328
464038350991523844,157983957902819328
422160918282108968,157983957902819328
281236384998752257,157983957902819328
174990483339214848,157983957902819328
493561455933915146,157983957902819328
172822673599102977,157983957902819328
172829806935670784,157983957902819328
282615287747051520,157983957902819328
529161107206701056,157983957902819328
318992967333576704,157983957902819328
645017010576556053,157983957902819328
537816866622537728,157983957902819328
413146626362703882,157983957902819328
507575668997881866,157983957902819328
400759364442390529,157983957902819328
475348814891450388,157983957902819328
469156419611000833,157983957902819328
779031469891911740,157983957902819328
627218017016741898,157983957902819328
819075381797060629,157983957902819328
819076702827315261,157983957902819328
819402116166320128,157983957902819328
817460530280923176,157983957902819328
817460533841100880,157983957902819328
826186643814875166,157983957902819328
829834075158085703,157983957902819328
829834023676149812,157983957902819328
829833378022293604,157983957902819328
829833794311815168,157983957902819328
829833952126042172,157983957902819328
829833882836533280,157983957902819328
829833680787865710,157983957902819328
860229863541702666,157983957902819328
859517655186407445,157983957902819328
859517915316355074,157983957902819328
859517831955349585,157983957902819328
757674477147521075,193103073210662914
757674516678705242,193103073210662914
757674624308871219,193103073210662914